Hour,Technology,Charging power (MW),Discharging power (MW),State of charge (MWh)
161,PHS,0.0,0.0,-0.0
161,H2,0.0,0.0,-0.0
162,Li-Ion,350.03383880695156,0.0,7570.313058880062
162,CAES,0.0,0.0,-0.0
162,PHS,0.0,0.0,-0.0
162,H2,0.0,0.0,-0.0
163,Li-Ion,444.05524826265844,0.0,7979.711769165243
163,CAES,0.0,0.0,-0.0
163,PHS,0.0,0.0,-0.0
163,H2,0.0,0.0,0.0
164,Li-Ion,281.77220956226574,0.0,8239.492910454139
164,CAES,-0.0,0.0,-0.0
164,PHS,-0.0,0.0,-0.0
164,H2,-0.0,0.0,-0.0
165,Li-Ion,0.0,0.0,8239.492910454139
165,CAES,0.0,0.0,-0.0
165,PHS,0.0,0.0,0.0
165,H2,0.0,0.0,-0.0
166,Li-Ion,59.05036041055183,0.0,8293.934652756563
166,CAES,0.0,0.0,-0.0
166,PHS,-0.0,0.0,0.0
166,H2,0.0,0.0,-0.0
167,Li-Ion,153.05592078988118,0.0,8435.045239373983
167,CAES,0.0,0.0,-0.0
167,PHS,-0.0,0.0,-0.0
167,H2,0.0,0.0,-0.0
168,Li-Ion,0.0,0.0,8435.045239373983
168,CAES,0.0,0.0,-0.0
168,PHS,0.0,0.0,0.0
