Hour,Technology,Charging power (MW),Discharging power (MW),State of charge (MWh)
98,Li-Ion,0.0,0.0,1106.3453311873006
98,CAES,0.0,0.0,3226.185878913073
98,PHS,0.0,0.0,-0.0
98,H2,0.0,0.0,-0.0
99,Li-Ion,0.0,0.0,1106.3453311873006
99,CAES,0.0,0.0,3226.185878913073
99,PHS,0.0,0.0,-0.0
99,H2,0.0,0.0,-0.0
100,Li-Ion,0.0,0.0,1106.3453311873006
100,CAES,0.0,0.0,3226.185878913073
100,PHS,0.0,0.0,-0.0
100,H2,0.0,0.0,-0.0
101,Li-Ion,0.0,0.0,1106.3453311873006
101,CAES,0.0,0.0,3226.185878913073
101,PHS,0.0,0.0,-0.0
101,H2,0.0,0.0,-0.0
102,Li-Ion,0.0,0.0,1106.3453311873006
102,CAES,0.0,0.0,3226.185878913073
102,PHS,0.0,0.0,-0.0
102,H2,0.0,0.0,-0.0
103,Li-Ion,0.0,0.0,1106.3453311873006
103,CAES,0.0,0.0,3226.185878913073
103,PHS,0.0,0.0,-0.0
103,H2,0.0,0.0,-0.0
104,Li-Ion,0.0,0.0,1106.3453311873006
104,CAES,0.0,0.0,3226.185878913073
104,PHS,0.0,0.0,-0.0
104,H2,0.0,0.0,-0.0
105,Li-Ion,0.0,0.0,1106.3453311873006
105,CAES,0.0,0.0,3226.185878913073
105,PHS,0.0,0.0,-0.0
105,H2,0.0,0.0,-0.0
106,Li-Ion,0.0,0.0,1106.3453311873006
106,CAES,0.0,0.0,3226.185878913073
106,PHS,0.0,0.0,-0.0
106,H2,0.0,0.0,-0.0
107,Li-Ion,0.0,0.0,1106.3453311873006
107,CAES,0.0,0.0,3226.185878913073
107,PHS,0.0,0.0,-0.0
107,H2,0.0,0.0,-0.0
108,Li-Ion,0.0,0.0,1106.3453311873006
108,CAES,0.0,0.0,3226.185878913073
108,PHS,0.0,0.0,-0.0
108,H2,0.0,0.0,-0.0
109,Li-Ion,0.0,0.0,1106.3453311873006
109,CAES,0.0,0.0,3226.185878913073
109,PHS,0.0,0.0,-0.0
109,H2,0.0,0.0,-0.0
110,Li-Ion,0.0,0.0,1106.3453311873006
110,CAES,0.0,0.0,3226.185878913073
110,PHS,0.0,0.0,-0.0
110,H2,0.0,0.0,-0.0
111,Li-Ion,0.0,0.0,1106.3453311873006
111,CAES,0.0,0.0,3226.185878913073
111,PHS,0.0,0.0,-0.0
111,H2,0.0,0.0,-0.0
112,Li-Ion,0.0,0.0,1106.3453311873006
112,CAES,0.0,0.0,3226.185878913073
112,PHS,0.0,0.0,-0.0
112,H2,0.0,0.0,-0.0
113,Li-Ion,0.0,0.0,1106.3453311873006
113,CAES,0.0,0.0,3226.185878913073
113,PHS,0.0,0.0,-0.0
113,H2,0.0,0.0,-0.0
114,Li-Ion,0.0,0.0,1106.3453311873006
114,CAES,0.0,0.0,3226.185878913073
114,PHS,0.0,0.0,-0.0
114,H2,0.0,0.0,-0.0
115,Li-Ion,0.0,0.0,1106.3453311873006
115,CAES,0.0,0.0,3226.185878913073
115,PHS,0.0,0.0,-0.0
115,H2,0.0,0.0,-0.0
116,Li-Ion,0.0,0.0,1106.3453311873006
116,CAES,0.0,0.0,3226.185878913073
116,PHS,0.0,0.0,-0.0
116,H2,0.0,0.0,-0.0
117,Li-Ion,0.0,0.0,1106.3453311873006
117,CAES,0.0,0.0,3226.185878913073
117,PHS,0.0,0.0,-0.0
117,H2,0.0,0.0,-0.0
118,Li-Ion,0.0,0.0,1106.3453311873006
118,CAES,0.0,0.0,3226.185878913073
118,PHS,0.0,0.0,-0.0
118,H2,0.0,0.0,-0.0
119,Li-Ion,0.0,0.0,1106.3453311873006
119,CAES,0.0,0.0,3226.185878913073
119,PHS,0.0,0.0,-0.0
119,H2,0.0,0.0,-0.0
120,Li-Ion,0.0,0.0,1106.3453311873006
120,CAES,0.0,0.0,3226.185878913073
120,PHS,0.0,0.0,-0.0
120,H2,0.0,0.0,-0.0
